security,year,Cash And Cash Equivalents At Carrying Value,Income Tax Expense Benefit,Stockholders Equity,Weighted Average Number Of Shares Outstanding Basic,Assets,Unrecognized Tax Benefits,Earnings Per Share Basic,Net Income Loss,Deferred Income Tax Expense Benefit,Accumulated Other Comprehensive Income Loss Net Of Tax,Net Cash Provided By Used In Investing Activities,Net Cash Provided By Used In Financing Activities,Current Federal Tax Expense Benefit,Net Cash Provided By Used In Operating Activities,Comprehensive Income Net Of Tax,Retained Earnings Accumulated Deficit,Cash And Cash Equivalents Period Increase Decrease,Share Based Compensation,Current State And Local Tax Expense Benefit,Goodwill,Property Plant And Equipment Net,Deferred Federal Income Tax Expense Benefit,Common Stock Shares Authorized,Operating Income Loss,Deferred State And Local Income Tax Expense Benefit,Accumulated Depreciation Depletion And Amortization Property Plant And Equipment,Current Income Tax Expense Benefit,Common Stock Value,Common Stock Par Or Stated Value Per Share,Common Stock Shares Issued,Interest Expense,Payments For Repurchase Of Common Stock,Property Plant And Equipment Gross,Entity Well Known Seasoned Issuer,Amendment Flag,Entity Voluntary Filers,Entity Current Reporting Status,cap,Document Fiscal Period Focus_FY,Document Fiscal Period Focus_Q4,Document Type_10-K,Document Type_10-K/A,Entity Filer Category_Accelerated Filer,Entity Filer Category_Large Accelerated Filer,Entity Filer Category_Non-accelerated Filer,Entity Filer Category_Smaller Reporting Accelerated Filer,Entity Filer Category_Smaller Reporting Company,sector_Advertising,sector_Aerospace & Defense,sector_Agricultural Products,sector_Air Freight & Logistics,sector_Airlines,sector_Alternative Carriers,sector_Apparel Retail,"sector_Apparel, Accessories & Luxury Goods",sector_Application Software,sector_Asset Management & Custody Banks,sector_Auto Parts & Equipment,sector_Automobile Manufacturers,sector_Automotive Retail,sector_Biotechnology,sector_Brewers,sector_Broadcasting,sector_Building Products,sector_Cable & Satellite,sector_Casinos & Gaming,sector_Communications Equipment,sector_Computer & Electronics Retail,sector_Construction & Engineering,sector_Construction Machinery & Heavy Trucks,sector_Consumer Discretionary,sector_Consumer Finance,sector_Consumer Staples,sector_Copper,sector_Customer Discretionary,sector_Data Processing & Outsourced Services,sector_Department Stores,sector_Distillers & Vintners,sector_Distributors,sector_Diversified Banks,sector_Diversified Chemicals,sector_Diversified Support Services,sector_Drug Retail,sector_Electric Utilities,sector_Electrical Components & Equipment,sector_Electronic Equipment & Instruments,sector_Electronic Manufacturing Services,sector_Energy,sector_Environmental & Facilities Services,sector_Fertilizers & Agricultural Chemicals,sector_Financial Exchanges & Data,sector_Financials,sector_Food Distributors,sector_Gas Utilities,sector_General Merchandise Stores,sector_Health Care,sector_Health Care Distributors,sector_Health Care Equipment,sector_Health Care Facilities,sector_Health Care REITs,sector_Health Care Services,sector_Health Care Supplies,sector_Health Care Technology,sector_Home Furnishings,sector_Home Improvement Retail,sector_Homebuilding,"sector_Hotels, Resorts & Cruise Lines",sector_Household Appliances,sector_Household Products,sector_Housewares & Specialties,sector_Human Resource & Employment Services,sector_Hypermarkets & Super Centers,sector_IT Consulting & Other Services,sector_Independent Power Producers & Energy Traders,sector_Industrial Conglomerates,sector_Industrial Gases,sector_Industrial Machinery,sector_Industrial REITs,sector_Industrials,sector_Information Technology,sector_Insurance Brokers,sector_Integrated Oil & Gas,sector_Integrated Telecommunication Services,sector_Interactive Home Entertainment,sector_Interactive Media & Services,sector_Internet & Direct Marketing Retail,sector_Internet Services & Infrastructure,sector_Investment Banking & Brokerage,sector_Life & Health Insurance,sector_Life Sciences Tools & Services,sector_Managed Health Care,sector_Materials,sector_Motorcycle Manufacturers,sector_Movies & Entertainment,sector_Multi-Utilities,sector_Multi-line Insurance,sector_Office REITs,sector_Oil & Gas Equipment & Services,sector_Oil & Gas Exploration & Production,sector_Oil & Gas Refining & Marketing,sector_Oil & Gas Storage & Transportation,sector_Packaged Foods & Meats,sector_Paper Packaging,sector_Personal Products,sector_Pharmaceuticals,sector_Property & Casualty Insurance,sector_Railroads,sector_Real Estate,sector_Regional Banks,sector_Research & Consulting Services,sector_Residential REITs,sector_Restaurants,sector_Retail REITs,sector_Semiconductor Equipment,sector_Semiconductors,sector_Soft Drinks,sector_Specialized Consumer Services,sector_Specialized REITs,sector_Specialty Chemicals,sector_Specialty Stores,sector_Systems Software,sector_Technology Distributors,"sector_Technology Hardware, Storage & Peripherals",sector_Telecommunication Services,sector_Tobacco,sector_Trading Companies & Distributors,sector_Trucking,sector_Utilities,sector_Water Utilities,sector_Wireless Telecommunication Services
AES Corp,2013.0,1642000000.0,343000000.0,4330000000.0,743000000.0,40411000000.0,392000000.0,0.15,114000000.0,-158000000.0,-2882000000.0,-1774000000.0,-1136000000.0,-28000000.0,2715000000.0,152000000.0,-150000000.0,-258000000.0,0.0,1000000.0,1622000000.0,25112000000.0,-110000000.0,1200000000.0,0.0,1000000.0,9604000000.0,0.0,8000000.0,0.01,813316510.0,1482000000.0,322000000.0,0.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES Corp,2014.0,1517000000.0,371000000.0,4272000000.0,720000000.0,38562000000.0,384000000.0,1.07,769000000.0,47000000.0,-3286000000.0,-656000000.0,-1262000000.0,0.0,1791000000.0,325000000.0,512000000.0,-119000000.0,0.0,1000000.0,1458000000.0,25151000000.0,-127000000.0,1200000000.0,0.0,1000000.0,9962000000.0,0.0,8000000.0,0.01,814539146.0,1451000000.0,308000000.0,0.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES Corp,2015.0,1218000000.0,412000000.0,3149000000.0,687000000.0,36545000000.0,364000000.0,0.45,306000000.0,-50000000.0,-3883000000.0,-2366000000.0,28000000.0,9000000.0,2134000000.0,-304000000.0,143000000.0,-231000000.0,0.0,1000000.0,1157000000.0,22022000000.0,-63000000.0,1200000000.0,0.0,-5000000.0,8939000000.0,0.0,8000000.0,0.01,815846621.0,1145000000.0,482000000.0,0.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES Corp,2016.0,1244000000.0,32000000.0,2794000000.0,660000000.0,36124000000.0,352000000.0,-1.72,-1130000000.0,-793000000.0,-2756000000.0,-2108000000.0,-747000000.0,2000000.0,2884000000.0,-3000000.0,-1146000000.0,26000000.0,0.0,1000000.0,1157000000.0,20415000000.0,-361000000.0,1200000000.0,0.0,-4000000.0,7919000000.0,0.0,8000000.0,0.01,816061123.0,1134000000.0,79000000.0,0.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES Corp,2017.0,949000000.0,990000000.0,2465000000.0,660000000.0,33112000000.0,348000000.0,-1.76,-1161000000.0,672000000.0,-1876000000.0,-2749000000.0,43000000.0,0.0,2489000000.0,-248000000.0,-2276000000.0,-295000000.0,0.0,0.0,1059000000.0,20296000000.0,545000000.0,1200000000.0,0.0,1000000.0,7942000000.0,0.0,8000000.0,0.01,816312913.0,1170000000.0,0.0,0.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFLAC Inc,2013.0,2543000000.0,1658000000.0,14620000000.0,464502000.0,121307000000.0,328000000.0,6.8,3158000000.0,422000000.0,-563000000.0,-11091000000.0,1136000000.0,0.0,10547000000.0,-120000000.0,19885000000.0,502000000.0,0.0,0.0,0.0,481000000.0,0.0,1900000000.0,4399000000.0,0.0,460000000.0,1236000000.0,67000000.0,0.1,667046000.0,293000000.0,813000000.0,941000000.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFLAC Inc,2014.0,4658000000.0,1540000000.0,18347000000.0,451204000.0,119727000000.0,309000000.0,6.54,2951000000.0,461000000.0,1979000000.0,-4241000000.0,-147000000.0,0.0,6550000000.0,5493000000.0,22156000000.0,2115000000.0,0.0,0.0,0.0,429000000.0,0.0,1900000000.0,4253000000.0,0.0,437000000.0,1079000000.0,67000000.0,0.1,668132000.0,317000000.0,1210000000.0,866000000.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFLAC Inc,2015.0,4350000000.0,1329000000.0,17708000000.0,430654000.0,118256000000.0,264000000.0,5.88,2533000000.0,41000000.0,625000000.0,-4897000000.0,-2187000000.0,0.0,6776000000.0,1179000000.0,24007000000.0,-308000000.0,0.0,0.0,0.0,427000000.0,0.0,1900000000.0,4001000000.0,0.0,468000000.0,1288000000.0,67000000.0,0.1,669723000.0,289000000.0,1315000000.0,895000000.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFLAC Inc,2016.0,4859000000.0,1408000000.0,20482000000.0,411471000.0,129819000000.0,294000000.0,6.46,2659000000.0,524000000.0,2630000000.0,-3855000000.0,-1619000000.0,0.0,5987000000.0,4664000000.0,25981000000.0,509000000.0,0.0,0.0,0.0,433000000.0,0.0,1900000000.0,4117000000.0,0.0,509000000.0,884000000.0,67000000.0,0.1,671249000.0,268000000.0,1422000000.0,942000000.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFLAC Inc,2017.0,3491000000.0,-586000000.0,24598000000.0,396021000.0,137217000000.0,14000000.0,11.63,4604000000.0,-1217000000.0,4028000000.0,-5431000000.0,-2065000000.0,0.0,6128000000.0,6002000000.0,29895000000.0,-1368000000.0,0.0,0.0,0.0,434000000.0,0.0,1900000000.0,4087000000.0,0.0,547000000.0,631000000.0,67000000.0,0.1,672881000.0,240000000.0,1351000000.0,981000000.0,1,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
