ticker,security
AAN,Aaron's Inc.
ACHC,Acadia Healthcare
ACIW,ACI Worldwide
ADNT,Adient plc
ATGE,Adtalem Global Education
ACM,AECOM
ACC,American Campus Communities
AEO,American Eagle Outfitters
AFG,American Financial Group
AGCO,AGCO
ALE,ALLETE Inc.
ALEX,Alexander & Baldwin
AMED,Amedisys
AM,Antero Midstream
APY,Apergy Corp.
ATI,Allegheny Technologies
AMCX,AMC Networks
AN,AutoNation
ARW,Arrow Electronics
ASB,Associated Banc-Corp
ASGN,ASGN
ASH,Ashland Inc.
ATO,Atmos Energy
ATR,AptarGroup Inc
AVNS,"Avanos Medical, Inc."
AVT,Avnet
AYI,Acuity Brands
AAXN,Axon Enterprise
BBBY,Bed Bath & Beyond
BC,Brunswick Corporation
BCO,Brink's Company (The)
BDC,Belden Inc
BIO,Bio-Rad Laboratories
BKH,Black Hills Corporation
BLKB,Blackbaud
BOH,Bank of Hawaii
BRO,Brown & Brown
BXS,BancorpSouth
BYD,Boyd Gaming
BHF,Brighthouse Financial
EAT,Brinker International Inc
BRX,Brixmor Property Group
CABO,Cable One Inc
CZR,Caesars Entertainment
CAKE,Cheesecake Factory Inc
CAR,Avis Budget Group
CACI,CACI International
CASY,Casey's General Stores
CATY,Cathay General Bancorp
CFX,Colfax
CBSH,Commerce Bancshares
CBT,Cabot Corp
CC,Chemours
CDK,CDK Global Inc
CFR,Cullen/Frost Bankers Inc
CGNX,Cognex Corporation
CHE,Chemed Corp.
CHDN,Churchill Downs Inc
CHK,Chesapeake Energy
CIEN,Ciena Corp
CLB,Core Laboratories
CLGX,CoreLogic
CLH,Clean Harbors Inc
CLI,Mack-Cali Realty Corporation
CMC,Commercial Metals Company
CMD,Cantel Medical Corporation
CMP,Compass Minerals International Inc.
CNK,Cinemark Holdings Inc
CNO,CNO Financial Group
COHR,"Coherent, Inc."
CONE,CyrusOne
COR,CoreSite Realty
CPT,Camden Property Trust
CR,Crane Co.
CREE,Cree Inc
CRI,"Carter's, Inc."
CRL,Charles River Laboratories
CRS,Carpenter Technology
CRUS,Cirrus Logic Inc
CNX,CNX Resources Corp
CSL,Carlisle Companies Inc.
CTLT,Catalent Inc
CUZ,Cousins Properties Inc
CVLT,CommVault Systems
CXW,CoreCivic
CVET,Covetrus
CW,Curtiss-Wright Corp
CBRL,Cracker Barrel
CY,Cypress Semiconductor Corp
DAN,Dana Incorporated
DCI,Donaldson Co
DDS,Dillard's Inc
DECK,Deckers Outdoor Corporation
DEI,"Douglas Emmett, Inc."
DKS,Dick's Sporting Goods Inc
DLPH,Delphi Technologies PLC
DLX,Deluxe Corporation
DNKN,Dunkin' Brands Group Inc
DNOW,NOW Inc
DPZ,Domino's Pizza Inc
DY,Dycom Industries Inc
EGP,EastGroup Properties Inc
EPC,Edgewell Personal Care Company
ERI,Eldorado Resorts
EHC,Encompass Health Corp.
EME,Emcor
ENR,Energizer Holdings Inc
ENS,EnerSys
EPR,EPR Properties
EQT,EQT
ETRN,Equitrans Midstream Corp
WTRG,Essential Utilities
ETSY,Etsy
EV,Eaton Vance Corp
EVR,Evercore
EWBC,East West Bancorp Inc
EXEL,Exelixis
EXP,Eagle Materials Inc
FAF,First American Financial Corp
FDS,FactSet Research Systems Inc
FCFS,FirstCash
FFIN,First Financial Bankshares Inc
FHN,First Horizon National Corp
FICO,Fair Isaac Corporation
FII,Federated Investors
FIVE,Five Below
FLO,Flowers Foods Inc.
FLR,Fluor Corp.
FR,First Industrial Realty Trust
FNB,FNB Corporation
FSLR,First Solar
FL,Foot Locker
FULT,Fulton Financial Corporation
GATX,GATX Corp.
GEF,"Greif, Inc."
GEO,GEO Group Inc.
GGG,Graco Inc.
GHC,Graham Holdings Company
GME,GameStop Corp.
GMED,Globus Medical Inc.
