ticker,security,sector,cik
MMM,3M Company,Industrial Conglomerates,0000066740
ABT,Abbott Laboratories,Health Care Equipment,0000001800
ABBV,AbbVie Inc.,Pharmaceuticals,0001551152
ABMD,ABIOMED Inc,Health Care Equipment,0000815094
ACN,Accenture plc,IT Consulting & Other Services,0001467373
ATVI,Activision Blizzard,Interactive Home Entertainment,0000718877
ADBE,Adobe Inc.,Application Software,0000796343
AMD,Advanced Micro Devices Inc,Semiconductors,0000002488
AAP,Advance Auto Parts,Automotive Retail,0001158449
AES,AES Corp,Independent Power Producers & Energy Traders,0000874761
AFL,AFLAC Inc,Life & Health Insurance,0000004977
A,Agilent Technologies Inc,Health Care Equipment,0001090872
APD,Air Products & Chemicals Inc,Industrial Gases,0000002969
AKAM,Akamai Technologies Inc,Internet Services & Infrastructure,0001086222
ALK,Alaska Air Group Inc,Airlines,0000766421
ALB,Albemarle Corp,Specialty Chemicals,0000915913
ARE,Alexandria Real Estate Equities,Office REITs,0001035443
ALXN,Alexion Pharmaceuticals,Biotechnology,0000899866
ALGN,Align Technology,Health Care Supplies,0001097149
ALLE,Allegion,Building Products,0001579241
AGN,"Allergan, plc",Pharmaceuticals,0001578845
ADS,Alliance Data Systems,Data Processing & Outsourced Services,0001101215
LNT,Alliant Energy Corp,Electric Utilities,0000352541
ALL,Allstate Corp,Property & Casualty Insurance,0000899051
GOOGL,Alphabet Inc Class A,Interactive Media & Services,0001652044
GOOG,Alphabet Inc Class C,Interactive Media & Services,0001652044
MO,Altria Group Inc,Tobacco,0000764180
AMZN,Amazon.com Inc.,Internet & Direct Marketing Retail,0001018724
AMCR,Amcor plc,Paper Packaging,0001748790
AEE,Ameren Corp,Multi-Utilities,0001002910
AAL,American Airlines Group,Airlines,0000006201
AEP,American Electric Power,Electric Utilities,0000004904
AXP,American Express Co,Consumer Finance,0000004962
AIG,American International Group,Property & Casualty Insurance,0000005272
AMT,American Tower Corp.,Specialized REITs,0001053507
AWK,American Water Works Company Inc,Water Utilities,0001410636
AMP,Ameriprise Financial,Asset Management & Custody Banks,0000820027
ABC,AmerisourceBergen Corp,Health Care Distributors,0001140859
AME,AMETEK Inc.,Electrical Components & Equipment,0001037868
AMGN,Amgen Inc.,Biotechnology,0000318154
APH,Amphenol Corp,Electronic Components,0000820313
ADI,"Analog Devices, Inc.",Semiconductors,0000006281
ANSS,ANSYS,Application Software,0001013462
ANTM,Anthem,Managed Health Care,0001156039
AON,Aon plc,Insurance Brokers,0000315293
AOS,A.O. Smith Corp,Building Products,0000091142
APA,Apache Corporation,Oil & Gas Exploration & Production,0000006769
AIV,Apartment Investment & Management,Residential REITs,0000922864
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",0000320193
AMAT,Applied Materials Inc.,Semiconductor Equipment,0000006951
APTV,Aptiv PLC,Auto Parts & Equipment,0001521332
ADM,Archer-Daniels-Midland Co,Agricultural Products,0000007084
ARNC,Arconic Inc.,Aerospace & Defense,0000004281
ANET,Arista Networks,Communications Equipment,0001596532
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,0000354190
AIZ,Assurant,Multi-line Insurance,0001267238
T,AT&T Inc.,Integrated Telecommunication Services,0000732717
ATO,Atmos Energy,Gas Utilities,0000731802
ADSK,Autodesk Inc.,Application Software,0000769397
ADP,Automatic Data Processing,Internet Services & Infrastructure,0000008670
AZO,AutoZone Inc,Specialty Stores,0000866787
AVB,"AvalonBay Communities, Inc.",Residential REITs,0000915912
AVY,Avery Dennison Corp,Paper Packaging,0000008818
BKR,Baker Hughes Co,Oil & Gas Equipment & Services,0001701605
BLL,Ball Corp,Metal & Glass Containers,0000009389
BAC,Bank of America Corp,Diversified Banks,0000070858
BK,The Bank of New York Mellon Corp.,Asset Management & Custody Banks,0001390777
BAX,Baxter International Inc.,Health Care Equipment,0000010456
BDX,Becton Dickinson,Health Care Equipment,0000010795
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,0001067983
BBY,Best Buy Co. Inc.,Computer & Electronics Retail,0000764478
BIIB,Biogen Inc.,Biotechnology,0000875045
BLK,BlackRock,Asset Management & Custody Banks,0001364742
BA,Boeing Company,Aerospace & Defense,0000012927
BKNG,Booking Holdings Inc,Internet & Direct Marketing Retail,0001075531
BWA,BorgWarner,Auto Parts & Equipment,0000908255
BXP,Boston Properties,Office REITs,0001037540
BSX,Boston Scientific,Health Care Equipment,0000885725
BMY,Bristol-Myers Squibb,Health Care Distributors,0000014272
AVGO,Broadcom Inc.,Semiconductors,0001730168
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,0001383312
BF.B,Brown-Forman Corp.,Distillers & Vintners,0000014693
CHRW,C. H. Robinson Worldwide,Air Freight & Logistics,0001043277
COG,Cabot Oil & Gas,Oil & Gas Exploration & Production,0000858470
CDNS,Cadence Design Systems,Application Software,0000813672
CPB,Campbell Soup,Packaged Foods & Meats,0000016732
COF,Capital One Financial,Consumer Finance,0000927628
CPRI,Capri Holdings,"Apparel, Accessories & Luxury Goods",0001530721
CAH,Cardinal Health Inc.,Health Care Distributors,0000721371
KMX,Carmax Inc,Specialty Stores,0001170010
CCL,Carnival Corp.,"Hotels, Resorts & Cruise Lines",0000815097
CAT,Caterpillar Inc.,Construction Machinery & Heavy Trucks,0000018230
CBOE,Cboe Global Markets,Financial Exchanges & Data,0001374310
CBRE,CBRE Group,Real Estate Services,0001138118
CDW,CDW,Technology Distributors,0001402057
CE,Celanese,Specialty Chemicals,0001306830
CNC,Centene Corporation,Managed Health Care,0001071739
CNP,CenterPoint Energy,Multi-Utilities,0001130310
CTL,CenturyLink Inc,Alternative Carriers,0000018926
CERN,Cerner,Health Care Technology,0000804753
CF,CF Industries Holdings Inc,Fertilizers & Agricultural Chemicals,0001324404
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,0000316709
CHTR,Charter Communications,Cable & Satellite,0001091667
CVX,Chevron Corp.,Integrated Oil & Gas,0000093410
CMG,Chipotle Mexican Grill,Restaurants,0001058090
CB,Chubb Limited,Property & Casualty Insurance,0000896159
CHD,Church & Dwight,Household Products,0000313927
CI,CIGNA Corp.,Managed Health Care,0000701221
CINF,Cincinnati Financial,Property & Casualty Insurance,0000020286
